SentenceID,Transcript,Device
speaker11_m_nn_utt25,"Liyane gawe njaga keamanan kampung, pengawasan kos-kosan iki yo iso nggampangno Pemkot gawe nyalurake program ben tepak sasaran.",Thronmax Mdrill Zero
speaker11_m_nn_utt26,"Mari ngono, Pak Eri nutup omongane karo pesen ben nilai-nilai Pancasila dikuatno liwat program Kampung Pancasila.",Thronmax Mdrill Zero
speaker11_m_nn_utt27,"Jatmiko Nata Pratama karo konco-koncone, total limang wong, nggawe rencana penipuan lewat aplikasi kenalan.",Thronmax Mdrill Zero
speaker11_m_nn_utt28,"Pas sampek daerah Menganti, Ezzy njaluk mandeg nang toko.",Thronmax Mdrill Zero
speaker11_m_nn_utt29,"Gak suwi, koncone liyane, Dinar Risnaya Hadi, melok-melok pisan.",Thronmax Mdrill Zero
speaker11_m_nn_utt30,Kowe arep melu ora?,Thronmax Mdrill Zero
speaker12_m_nn_utt01,sugeng enjing kowe wis sarapan durung,POCO X6 5G
speaker12_m_nn_utt02,aku arep tuku roti ning warung,POCO X6 5G
speaker12_m_nn_utt03,tulung jupukke tas neng meja iku,POCO X6 5G
speaker12_m_nn_utt04,ayo padha mangan siang bareng kene,POCO X6 5G
speaker12_m_nn_utt05,kowe arep menyang ngendi sore iki,POCO X6 5G
speaker12_m_nn_utt06,aku lagi nyuci klambi ning mburi,POCO X6 5G
speaker12_m_nn_utt07,adhiku dolanan bal ning alun alun,POCO X6 5G
speaker12_m_nn_utt08,ibu lagi masak soto ayam ning pawon,POCO X6 5G
speaker12_m_nn_utt09,bapak lagi nonton televisi ning ruang tamu,POCO X6 5G
speaker12_m_nn_utt10,aku kepengin ngombe es teh manis,POCO X6 5G
speaker12_m_nn_utt11,hawane panas banget dina iki tenan,POCO X6 5G
speaker12_m_nn_utt12,kowe wis nggarap tugas sekolah durung,POCO X6 5G
speaker12_m_nn_utt13,aku arep turu siang sawetara wae,POCO X6 5G
speaker12_m_nn_utt14,tulung mateni lampu yen wis rampung,POCO X6 5G
speaker12_m_nn_utt15,aja lali ngunci lawang ngarep ya,POCO X6 5G
speaker12_m_nn_utt16,sepedaku rusak kudu didandani ning bengkel,POCO X6 5G
speaker12_m_nn_utt17,aku kepengin mangan bakso panas banget,POCO X6 5G
speaker12_m_nn_utt18,kowe iso nulungi aku ora iki,POCO X6 5G
speaker12_m_nn_utt19,ayo dolan menyang omahne kanca sesuk,POCO X6 5G
speaker12_m_nn_utt20,aku arep gereja minggu esuk jam wolu,POCO X6 5G
speaker12_m_nn_utt21,simbah lagi lenggahan ning teras ngarep,POCO X6 5G
speaker12_m_nn_utt22,kowe neng ngendi mau bengi iku,POCO X6 5G
speaker12_m_nn_utt23,aku lagi males banget arep ngapa ngapa,POCO X6 5G
speaker12_m_nn_utt24,tulung bukakke jendela kamarku sedhela ya,POCO X6 5G
speaker12_m_nn_utt25,aku wis siap berangkat sekolah saiki,POCO X6 5G
speaker12_m_nn_utt26,kowe kok katon kesel banget iki,POCO X6 5G
speaker12_m_nn_utt27,aku arep nyapu kamar sakdurunge mandi,POCO X6 5G
speaker12_m_nn_utt28,udan deres banget wingi bengi tenan,POCO X6 5G
speaker12_m_nn_utt29,aku kesel nganti ora kuat mlaku,POCO X6 5G
speaker12_m_nn_utt30,sugeng dalu kowe arep turu jam pira,POCO X6 5G
speaker13_m_nn_utt01,Aku arep lungo menyang pasar kanggo tuku sayur-sayuran lan iwak seger kanggo masak ing wayah bengi.,Redmi 10C + Dolby On
speaker13_m_nn_utt02,Dhèwèké wis moco buku crita wayang sedino muput mergo kepengin ngerti luwih jero bab Pandawa lima.,Redmi 10C + Dolby On
speaker13_m_nn_utt03,Mbah kakung seneng banget dolanan karo putu-putune ing plataran omah saben soré sawise ngaji.,Redmi 10C + Dolby On
speaker13_m_nn_utt04,Ojo lali ngunci lawang ngarep yen arep lungo adoh mergo saiki akeh maling sing ngluyur ing kampung kita.,Redmi 10C + Dolby On
speaker13_m_nn_utt05,Ibu lagi masak gulai pitik lan sayur lodèh sing mambu enak tenan nganti nggawé aku keluwen.,Redmi 10C + Dolby On
speaker13_m_nn_utt06,Para siswa podho sinau matematika kanthi sregep mergo sesuk bakal ono ujian sing angel banget.,Redmi 10C + Dolby On
speaker13_m_nn_utt07,Bapak tuku motor anyar werna ireng sing apik banget lan dienggo lungo kerjo saben esuk.,Redmi 10C + Dolby On
speaker13_m_nn_utt08,Adhiku seneng nonton filem kartun saben wayah soré sawise mulih sekolah lan rampung gawe PR.,Redmi 10C + Dolby On
speaker13_m_nn_utt09,Eyang putri tansah paring wejangan marang aku supaya dadi bocah sing sholeh lan ta'at marang wong tuwa.,Redmi 10C + Dolby On
speaker13_m_nn_utt10,Aku wis ngentèni koncoku wiwit jam siji soré nanging dhèwèké durung teko nganti saiki.,Redmi 10C + Dolby On
speaker13_m_nn_utt11,Wong-wong podho nonton wayang kulit ing pendopo desa nganti wayah tengah wengi ora kroso ngantuk.,Redmi 10C + Dolby On
speaker13_m_nn_utt12,Pakdhé lagi ndandani sepedha motor sing rusak mesin mergo wis lawas banget ora dienggo mlaku.,Redmi 10C + Dolby On
speaker13_m_nn_utt13,Ojo mbuwang uwuh sembarangan mergo bisa nggawé banjir lan lingkungan dadi ora resik lan apik.,Redmi 10C + Dolby On
speaker13_m_nn_utt14,Simbok tuku klambi anyar ing toko kanggo ngadhepake acara kondangan ing omahé tangga sebelah.,Redmi 10C + Dolby On
speaker13_m_nn_utt15,Aku seneng mangan soto ayam sing pedes lan anget nalika udan deres banget ing wayah soré.,Redmi 10C + Dolby On
speaker13_m_nn_utt16,Para tani podho nyambut gawe ing sawah saben esuk kanggo tandur pari supaya panen akèh lan apik.,Redmi 10C + Dolby On
speaker13_m_nn_utt17,"Mbokdhé dodol jajan pasar kaya lemper, onde-onde, lan klepon ing pasar gedhe saben dina esuk.",Redmi 10C + Dolby On
speaker13_m_nn_utt18,Aku kudu sinau luwih sregep menèh supaya bisa lulus ujian nasional kanthi nilai sing apik banget.,Redmi 10C + Dolby On
speaker13_m_nn_utt19,Bocah-bocah cilik podho dolanan bal-balan ing lapangan desa nganti soré lan keringetan kabèh.,Redmi 10C + Dolby On
speaker13_m_nn_utt20,Mas lagi nggawé meja anyar soko kayu jati kanggo diselèhaké ing ruang tamu omah kita.,Redmi 10C + Dolby On
speaker13_m_nn_utt21,Ojo nganti telat teko ing sekolah mergo guru bakal nesu lan menehi paukuman sing abot banget.,Redmi 10C + Dolby On
speaker13_m_nn_utt22,Budhe lagi njahit klambi kanggo anak wedhok sing arep kondangan ing acara nikahan kancane.,Redmi 10C + Dolby On
speaker13_m_nn_utt23,Aku seneng moco koran saben esuk nalika sarapan kanggo ngerti pawarta anyar sing lagi kedadeyan.,Redmi 10C + Dolby On
speaker13_m_nn_utt24,Wong-wong podho gotong royong ngresikaké dalan kampung kanggo nyambut rawuh tamu saka kutha gedhe.,Redmi 10C + Dolby On
speaker13_m_nn_utt25,Aku kudu mulih gasik soré iki mergo ibu wis ngongkon tuku bumbon ing warung sedakep omah.,Redmi 10C + Dolby On
speaker13_m_nn_utt26,Simbah lagi nyiram taneman kembang ing kebon mburi omah supaya tuwuh subur lan ngembang apik.,Redmi 10C + Dolby On
speaker13_m_nn_utt27,Ojo lali mangan obat sing wis diwènèhaké dokter supaya penyakit sing ditandang bisa cepet waras.,Redmi 10C + Dolby On
speaker13_m_nn_utt28,Adhiku wis iso moco lan nulis aksara Jowo mergo saben soré sinau karo guru ngaji ing mushola.,Redmi 10C + Dolby On
speaker13_m_nn_utt29,Bapak lan ibu lagi rembugan bab arep lungo piknik menyang pantai sesuk yen cuaca apik lan cerah.,Redmi 10C + Dolby On
speaker13_m_nn_utt30,Aku kudu ngirit dhuwit saku saben dina supaya iso tuku sepedha anyar sing wis diidham-idhamké lawas.,Redmi 10C + Dolby On
speaker14_m_n_utt01,Sejumlah pangguna motor nang Suroboyo ngeluh motore mogok sakwise ngisi Bahan Bakar Minyak jenis Pertalite nang SPBU Pertamina setempat.,Thronmax Mdrill Zero
speaker14_m_n_utt02,"Dheweke ngaku lek motor kesayangane, Honda Beat sing anyar tuku rong wulan kepungkur, malah mogok sakwise ngisi Pertalite nang SPBU Pertamina Jalan Kayoon, Embong Kaliasin, Kecamatan Genteng, Kota Suroboyo.",Thronmax Mdrill Zero
speaker14_m_n_utt03,"Sakmarine dijambret, korban ngekeki weruh uwong tuone.",Thronmax Mdrill Zero
speaker14_m_n_utt04,"Pemerintah tetep komitmen arep terus mbukak informasi & nglakoni langkah-langkah pencegahan, ben kejadian semacam iki gak kedadean maneh.",Thronmax Mdrill Zero
speaker14_m_n_utt05,Ngumbah sepeda malah udan,Thronmax Mdrill Zero
speaker14_m_n_utt06,"Sakdurunge, kejadian sing podo pisan kedadian nang Tuban.",Thronmax Mdrill Zero
speaker14_m_n_utt07,"Gak mek iku, Irfan pisan ngeroso dirugikno karo kedadian iki.",Thronmax Mdrill Zero
speaker14_m_n_utt08,Irjen Pol Nanang nyebutno lek penggunaan gas air mata nang aksi demo wes sesuai SOP seng berlaku.,Thronmax Mdrill Zero
speaker14_m_n_utt09,Gak sitik pengguna embong seng memilih mandek nang bahu dalan soale wedi diserang pelajar seng tawuran.,Thronmax Mdrill Zero
speaker14_m_n_utt10,Wali Kota njaluk kejujuran pengusaha gawe nyampekno laporan pajak seng jujur.,Thronmax Mdrill Zero
speaker14_m_n_utt11,Kasus pemalakan sneg dilakukno emak-emak berakhir damai.,Thronmax Mdrill Zero
speaker14_m_n_utt12,"Sakmarine iku, pihake ngelakukno upaya tindak lanjut.",Thronmax Mdrill Zero
speaker14_m_n_utt13,"Tapi menurute, korban durung gelem nggawe laporan resmi.",Thronmax Mdrill Zero
speaker14_m_n_utt14,"Sampek saiki, pihake mastikno gak ono laporan resmi seng dilayangno atas kasus iki nang kepolisian.",Thronmax Mdrill Zero
speaker14_m_n_utt15,Dadi dipastikno kasus iki selesai secara damai liwat mediasi.,Thronmax Mdrill Zero
speaker14_m_n_utt16,"Lho, jarene wingi ora sido?",Thronmax Mdrill Zero
speaker14_m_n_utt17,"Aku lagi lara untu, nyut-nyutan.",Thronmax Mdrill Zero
speaker14_m_n_utt18,Kowe wis ngombe obat durung?,Thronmax Mdrill Zero
speaker14_m_n_utt19,Sekolahmu isih adoh saka kene ta?,Thronmax Mdrill Zero
speaker14_m_n_utt20,"Susuke digowo, ojo lali.",Thronmax Mdrill Zero
speaker14_m_n_utt21,"Listrike mati, peteng kabeh. ",Thronmax Mdrill Zero
speaker14_m_n_utt22,Aku arep nyirami kembang sik.,Thronmax Mdrill Zero
speaker14_m_n_utt23,"PR-e angel tenan, aku durung rampung.",Thronmax Mdrill Zero
speaker14_m_n_utt24,Kowe mrene mau numpak opo?,Thronmax Mdrill Zero
speaker14_m_n_utt25,"Ojo gampang nesu, ngko malah cepet tuek.",Thronmax Mdrill Zero
speaker14_m_n_utt26,"Segane wis mateng durung, Bu?",Thronmax Mdrill Zero
speaker14_m_n_utt27,"Jupukno sapu, arep nyapu latar.",Thronmax Mdrill Zero
speaker14_m_n_utt28,Kapan kene iso ketemu?,Thronmax Mdrill Zero
speaker14_m_n_utt29,"Dompetku keri, aku ngutang sik yo.",Thronmax Mdrill Zero
speaker14_m_n_utt30,"Kon ganti model rambut, yo?",Thronmax Mdrill Zero
speaker15_m_nn_utt01,halo apa kabar kowe dina iki,Arctis Nova 3
speaker15_m_nn_utt02,aku arep mangan siang ning warteg,Arctis Nova 3
speaker15_m_nn_utt03,kowe wis adus durung esuk iki,Arctis Nova 3
speaker15_m_nn_utt04,tulung diselehke ning rak sebelah kanan,Arctis Nova 3
speaker15_m_nn_utt05,aku lagi ngenteni angkot ning pinggir dalan,Arctis Nova 3
speaker15_m_nn_utt06,adhiku seneng banget nonton kartun saben dina,Arctis Nova 3
speaker15_m_nn_utt07,bapak arep budhal kerja jam setengah nem,Arctis Nova 3
speaker15_m_nn_utt08,ibu lagi nyirami kembang ning kebon mburi,Arctis Nova 3
speaker15_m_nn_utt09,aku pengin tuku es krim coklat vanilla,Arctis Nova 3
speaker15_m_nn_utt10,kowe tau menyang bandung durung tau,Arctis Nova 3
speaker15_m_nn_utt11,aku kepengin sinau main gitar akustik,Arctis Nova 3
speaker15_m_nn_utt12,sesuk dina minggu aku libur sekolah,Arctis Nova 3
speaker15_m_nn_utt13,ayo ngopi bareng ning warung pojok,Arctis Nova 3
speaker15_m_nn_utt14,kowe lagi ngrungokke lagu apa iki,Arctis Nova 3
speaker15_m_nn_utt15,aku arep ngumbah piring sakwise mangan,Arctis Nova 3
speaker15_m_nn_utt16,tulung kancani aku menyang pasar sedhela,Arctis Nova 3
speaker15_m_nn_utt17,hp ku lowbat kudu dicas saiki,Arctis Nova 3
speaker15_m_nn_utt18,aku lagi baca buku novel cerita misteri,Arctis Nova 3
speaker15_m_nn_utt19,kowe mangan apa wae esuk mau,Arctis Nova 3
speaker15_m_nn_utt20,aja rame rame simbah lagi turu,Arctis Nova 3
speaker15_m_nn_utt21,aku kepengin liburan menyang pantai sesuk,Arctis Nova 3
speaker15_m_nn_utt22,cuacane mendung kayake arep udan iki,Arctis Nova 3
speaker15_m_nn_utt23,kowe wis rampung ngresiki kamar durung,Arctis Nova 3
speaker15_m_nn_utt24,aku arep nyalin lagu anyar ning hp,Arctis Nova 3
speaker15_m_nn_utt25,tulung gawakke payung yen arep metu,Arctis Nova 3
speaker15_m_nn_utt26,aku lagi ndelok video lucu ning youtube,Arctis Nova 3
speaker15_m_nn_utt27,kowe iso ngajari aku bahasa inggris,Arctis Nova 3
speaker15_m_nn_utt28,aku kesel banget mlaku mlaku seharian,Arctis Nova 3
speaker15_m_nn_utt29,ayo sarapan dhisik sadurunge budhal sekolah,Arctis Nova 3
speaker15_m_nn_utt30,sugeng siang aku arep istirahat sawetara,Arctis Nova 3
speaker16_m_nn_utt01,sugeng enjing mugi dina iki lancar kabeh,iPhone XR
speaker16_m_nn_utt02,monggo pinarak dhisik aja sungkan-sungkan,iPhone XR
speaker16_m_nn_utt03,nuwun sewu aku njaluk tulung sakedhap,iPhone XR
speaker16_m_nn_utt04,kowe wis sarapan durung esuk iki?,iPhone XR
speaker16_m_nn_utt05,aku arep menyang kantor dhisik yo,iPhone XR
speaker16_m_nn_utt06,yen kowe butuh apa-apa ngomong wae,iPhone XR
speaker16_m_nn_utt07,monggo lungguh kene ben luwih nyaman,iPhone XR
speaker16_m_nn_utt08,aku arep resik-resik omah sekedhap,iPhone XR
speaker16_m_nn_utt09,kowe kepiye kabare dina iki?,iPhone XR
speaker16_m_nn_utt10,aku arep menyang pasar tuku pelem,iPhone XR
speaker16_m_nn_utt11,nuwun sewu aku mlebu dhisik yo,iPhone XR
speaker16_m_nn_utt12,mugi urusanmu dina iki lancar kabeh,iPhone XR
speaker16_m_nn_utt13,monggo dijajal sek batike yen kurang pas bisa diganti ukurane,iPhone XR
speaker16_m_nn_utt14,aku arep nggarap laporan kanggo mengko beng,iPhone XR
speaker16_m_nn_utt15,aku matur nuwun sanget kanggo pitulunganmu,iPhone XR
speaker16_m_nn_utt16,kowe arep menyang ngendi sakwise mulih sekolah,iPhone XR
speaker16_m_nn_utt17,jajal dicek dhisik sapa ngerti ana sing salah,iPhone XR
speaker16_m_nn_utt18,mugo-mugo tansah diparingi sehat yo le,iPhone XR
speaker16_m_nn_utt19,sugeng enjing kowe wes sarapan durung,iPhone XR
speaker16_m_nn_utt20,tulung bantu aku njupuk buku kui,iPhone XR
speaker16_m_nn_utt21,aku lagi nyiapke mangan awan ing pawon,iPhone XR
speaker16_m_nn_utt22,iso kirimke file kuwi saiki?,iPhone XR
speaker16_m_nn_utt23,ngapura aku rada telat,iPhone XR
speaker16_m_nn_utt24,tulung pateni lampune sak durung metu kamar,iPhone XR
speaker16_m_nn_utt25,aku arep lungo blanja sek,iPhone XR
speaker16_m_nn_utt26,koe wes ngrampungke tugasmu?,iPhone XR
speaker16_m_nn_utt27,ayo leren sek sakdurunge kerjo,iPhone XR
speaker16_m_nn_utt28,akhir akhir iku koe ngapain wae,iPhone XR
speaker16_m_nn_utt29,koe karo deweke apik apik wae to?,iPhone XR
speaker16_m_nn_utt30,aku uwes usaha sak maksimal mungkin,iPhone XR
speaker17_m_nn_utt01,aku arep menyang pasar tuku gula jawa,Samsung M23
speaker17_m_nn_utt02,kowe wis mangan apa durung,Samsung M23
speaker17_m_nn_utt03,omahku cedhak banget karo stasiun balapan,Samsung M23
speaker17_m_nn_utt04,aja lali nggawa payung amarga mendhung,Samsung M23
speaker17_m_nn_utt05,bapak lagi nggawe kopi neng pawon,Samsung M23
speaker17_m_nn_utt06,sesuk kowe sido melu dolan ora?,Samsung M23
speaker17_m_nn_utt07,bukune wis tak balekne menyang perpustakaan,Samsung M23
speaker17_m_nn_utt08,dheweke ora mlebu sekolah merga lara weteng,Samsung M23
speaker17_m_nn_utt09,klambimu sing werna abang kuwi apik tenan,Samsung M23
speaker17_m_nn_utt10,aku ora ngarti carane nggunakake alat iki,Samsung M23
speaker17_m_nn_utt11,sore iki penake ngombe teh karo mangan gorengan,Samsung M23
speaker17_m_nn_utt12,bocah-bocah lagi dolanan layangan neng lapangan,Samsung M23
speaker17_m_nn_utt13,kucinge turu pules neng ndhuwur kursi,Samsung M23
speaker17_m_nn_utt14,tulung jupukna kunci motor neng meja tamu,Samsung M23
speaker17_m_nn_utt15,rasane pedhes banget aku ora kuwat,Samsung M23
speaker17_m_nn_utt16,kula badhe nyuwun pirsa pak,Samsung M23
speaker17_m_nn_utt17,panjenengan badhe tindak pundi,Samsung M23
speaker17_m_nn_utt18,Ibu saiki turu neng kamar,Samsung M23
speaker17_m_nn_utt19,Kowe arep lunga menyang ngendi,Samsung M23
speaker17_m_nn_utt20,Punapa Panjenengan sampun dhahar?,Samsung M23
speaker17_m_nn_utt21,aku arep balik saiki wes bengi,Samsung M23
speaker17_m_nn_utt22,ngapura kula mboten saged ndherek rapat,Samsung M23
speaker17_m_nn_utt23,menawi mboten ngrepoti kula nyuwun toya pethak,Samsung M23
speaker17_m_nn_utt24,dalemipun pak lurah wonten sisih pundi,Samsung M23
speaker17_m_nn_utt25,matur nuwun sanget atas paringipun,Samsung M23
speaker17_m_nn_utt26,kula dereng nate tumut acara kados mekaten,Samsung M23
speaker17_m_nn_utt27,buku menika kagunganipun bu guru,Samsung M23
speaker17_m_nn_utt28,sampun dangu kula mboten kepanggih panjenengan,Samsung M23
speaker17_m_nn_utt29,regi uwos sakmenika mindhak awis,Samsung M23
speaker17_m_nn_utt30,mangga dipun unjuk tehipun mumpung taksih benter,Samsung M23
speaker18_f_nn_utt01,aku arep mangan sek sadurunge nerusake gaweanku ing kamar,iphone 14 pro
speaker18_f_nn_utt02,esuk iki aku kudu sekolah banjur ketemu karo kancaku kanggo diskusi,iphone 14 pro
speaker18_f_nn_utt03,ayo lunga bareng menyang pasar ben kita bisa tuku bahan masakane dina iki,iphone 14 pro
speaker18_f_nn_utt04,aku arep sinau ing kamar soale sesuk ana ujian sing kudu tak siapke,iphone 14 pro
speaker18_f_nn_utt05,aku lagi ngenteni kowe neng ngarep omah amarga pengin ngomong soko ati,iphone 14 pro
speaker18_f_nn_utt06,kowe wis mangan durung nek durung ayo mangan bareng neng pawon,iphone 14 pro
speaker18_f_nn_utt07,aku arep tuku sayur neng warung kanggo masak bengi iki,iphone 14 pro
speaker18_f_nn_utt08,ayo ketemu awan iki ben iso ngomongke rencana kanggo minggu ngarep,iphone 14 pro
speaker18_f_nn_utt09,aku lagi nggarap tugas kampus sing kudu dikumpulke sesuk esuk,iphone 14 pro
speaker18_f_nn_utt10,kowe bisa bantu aku ora amarga tugasku iki rada angel,iphone 14 pro
speaker18_f_nn_utt11,aku arep bali luwih awan soale ana keperluan penting neng omah,iphone 14 pro
speaker18_f_nn_utt12,ayo istirahat dhisik ben awak ora kesel lan pikiran luwih seger,iphone 14 pro
speaker18_f_nn_utt13,aku pengin ngombe banyu amarga saka mau awan aku durung ngombe babar pisan,iphone 14 pro
speaker18_f_nn_utt14,kowe ojo lali nggawa payung yen meh metu awane kok katon arep udan,iphone 14 pro
speaker18_f_nn_utt15,aku arep numpak motor menyang kampus kanggo rapat karo kelompok tugas,iphone 14 pro
speaker18_f_nn_utt16,sesuk esuk aku arep olahraga neng lapangan supaya badan tetep sehat,iphone 14 pro
speaker18_f_nn_utt17,aku lagi ngresiki kamar amarga wis katon akehe barang sing ora rapi,iphone 14 pro
speaker18_f_nn_utt18, nek ora sibuk kowe saiki ana ngendi ben aku iso nyusul neng kono,iphone 14 pro
speaker18_f_nn_utt19,aku arep nyuci klambi sing wis numpuk wiwit rong dina kepungkur,iphone 14 pro
speaker18_f_nn_utt20,ayo padha sinau bareng neng perpustakaan ben luwih focus,iphone 14 pro
speaker18_f_nn_utt21,aku durung rampung nulis laporan iki amarga datane durung lengkap,iphone 14 pro
speaker18_f_nn_utt22,kowe iso nerangake iki ora soale aku durung ngerti maksude opo,iphone 14 pro
speaker18_f_nn_utt23,aku arep ngumbah piring sing saka mau awan durung tak resiki,iphone 14 pro
speaker18_f_nn_utt24,awan iki aku ana jadwal rapat sing kudu tak tindakake nganti sore,iphone 14 pro
speaker18_f_nn_utt25,kowe wis siyap durung kanggo budhal bareng menyang omahe kanca,iphone 14 pro
speaker18_f_nn_utt26,aku pengin turu sediluk ben rasane luwih seger lan ora mumet,iphone 14 pro
speaker18_f_nn_utt27,ayo pesen mangan bebarengan neng restoran anyar sing lagi rame,iphone 14 pro
speaker18_f_nn_utt28,aku arep mriksa email sek amarga ana kabar penting sing tak tunggu,iphone 14 pro
speaker18_f_nn_utt29,kowe iso ngenteni aku neng kafe ben kita iso ngobrol luwih suwe,iphone 14 pro
speaker18_f_nn_utt30,aku arep metu sediluk tuku jajanan kanggo cemilan bengi iki,iphone 14 pro
speaker19_f_nn_utt01,sugeng enjang kulo badhe dhahar,Iphone 15
speaker19_f_nn_utt02,ibu nembe sare wonten kamar,Iphone 15
speaker19_f_nn_utt03,bapak sampun rawuh saking kantor,Iphone 15
speaker19_f_nn_utt04,panjenengan badhe tindak dhateng pundi,Iphone 15
speaker19_f_nn_utt05,kula nyuwun ngapunten menawi wonten lepat,Iphone 15
speaker19_f_nn_utt06,dinten meniko dinten seloso,Iphone 15
speaker19_f_nn_utt07,jam sedoso kulo badhe sinau,Iphone 15
speaker19_f_nn_utt08,mangga pinarak rumiyin wonten ngriki,Iphone 15
speaker19_f_nn_utt09,monggo dipununjuk wedangipun,Iphone 15
speaker19_f_nn_utt10,kula aturi pamit riyin nggih,Iphone 15
speaker19_f_nn_utt11,matur nuwun sanget saking pitulunganipun,Iphone 15
speaker19_f_nn_utt12,pakdhe kagungan putra kalih,Iphone 15
speaker19_f_nn_utt13,dinten sabtu enjing kula olahraga,Iphone 15
speaker19_f_nn_utt14,panjenengan nembe dahar nopo,Iphone 15
speaker19_f_nn_utt15,kula badhe nyuwun pirso bab meniko,Iphone 15
speaker19_f_nn_utt16,griyanipun eyang tebih saking mriki,Iphone 15
speaker19_f_nn_utt17,dospundi kabaripun panjenengan sakmeniko,Iphone 15
speaker19_f_nn_utt18,kulo badhe adus rumiyin,Iphone 15
speaker19_f_nn_utt19,kula boten saged ndherek sameniko,Iphone 15
speaker19_f_nn_utt20,meniko ageman enggal kula,Iphone 15
speaker19_f_nn_utt21,bu guru nembe maos buku,Iphone 15
speaker19_f_nn_utt22,kula nedha sega pecel kemawon,Iphone 15
speaker19_f_nn_utt23,monggo sami-sami njagi kasarasan,Iphone 15
speaker19_f_nn_utt24,bapak badhe sare wanci dalu,Iphone 15
speaker19_f_nn_utt25,panjenengan saged kulo caosi menopo,Iphone 15
speaker19_f_nn_utt26,sinten asmanipun garwanipun panjenengan,Iphone 15
speaker19_f_nn_utt27,kula wangsul dinten senin ngajeng,Iphone 15
speaker19_f_nn_utt28,arto kula kantun seket ewu,Iphone 15
speaker19_f_nn_utt29,kula sampun cekap anggenipun ngunjuk,Iphone 15
speaker19_f_nn_utt30,sugeng sonten sedaya kemawon,Iphone 15
speaker20_f_n_utt01,aku arep ngombe banyu anget ben tenggorokanku kroso luwih enak,Iphone 13
speaker20_f_n_utt02,aku arep tuku roti menyang warung mburi omah,Iphone 13
speaker20_f_n_utt03,kowe ojo lali nggawa payung amarga awane katon peteng,Iphone 13
speaker20_f_n_utt04,dina iki aku kudu resik-resik jeding,Iphone 13
speaker20_f_n_utt05,mbakyuku lagi nyetrika klambi,Iphone 13
speaker20_f_n_utt06,"kowe kok katon kesel, apa lagi lara?",Iphone 13
speaker20_f_n_utt07,adhiku seneng banget yen diajak mlaku-mlaku sore,Iphone 13
speaker20_f_n_utt08,sepur sing tak enteni durung teka-teka,Iphone 13
speaker20_f_n_utt09,"kowe takon wae yen ora ngerti pelajarane, yud",Iphone 13
speaker20_f_n_utt10,dina Minggu aku arep dolan menyang omahe koncoku,Iphone 13
speaker20_f_n_utt11,aku lagi ngumbah klambi amarga ibuku isik repot,Iphone 13
speaker20_f_n_utt12,bocah kuwi nangis amarga dolanane rusak,Iphone 13
speaker20_f_n_utt13,wingi bengi aku turu telat amarga nggarap tugas,Iphone 13
speaker20_f_n_utt14,kowe iso melu rapat apa ora sesuk esuk?,Iphone 13
speaker20_f_n_utt15,sandalku keri ana ing omahe paklikku,Iphone 13
speaker20_f_n_utt16,"kowe ojo rame-rame, simbah lagi turu",Iphone 13
speaker20_f_n_utt17,endasku dadi mumet amarga panas banget,Iphone 13
speaker20_f_n_utt18,dina iki aku oleh hadiah saka guruku,Iphone 13
speaker20_f_n_utt19,kowe apa wis rampung nggarap PR bahasa Indonesia?,Iphone 13
speaker20_f_n_utt20,aku krungu swara banter banget nganti kaget,Iphone 13
speaker20_f_n_utt21,bocah-bocah kuwi padha dolanan saya rame banget,Iphone 13
speaker20_f_n_utt22,aku kepengin mangan es krim amarga cuacane panas banget,Iphone 13
speaker20_f_n_utt23,aku arep olahraga sakwise jam pelajaran rampung,Iphone 13
speaker20_f_n_utt24,simbahku seneng nandur kembang lan woh-wohan,Iphone 13
speaker20_f_n_utt25,"yen arep lunga, ojo lali lampune dipateni yo!",Iphone 13
speaker20_f_n_utt26,dina iki aku ketemu kucing lucu ing pinggir dalan,Iphone 13
speaker20_f_n_utt27,aku kesusu mangkat amarga wektune wis mepet banget,Iphone 13
speaker20_f_n_utt28,jojo takon jadwal dino Senin amarga wingi bocahe ora mlebu kelas,Iphone 13
speaker20_f_n_utt29,aku kepengin sinau masak jajanan pasar,Iphone 13
speaker20_f_n_utt30,kowe ojo lali mbayar listrik sadurunge tanggal sepuluh saben wulan,Iphone 13
speaker21_m_nn_utt01,sugeng enjang kulo badhe bidhal kuliah,Iphone 15 plus
speaker21_m_nn_utt02,kados pundi kabaripun panjenengan dinten menika,Iphone 15 plus
speaker21_m_nn_utt03,monggo pinarak wonten kursi ingkang kasedhiya,Iphone 15 plus
speaker21_m_nn_utt04,kulo badhe nyuwun pirsa babagan tugas menika,Iphone 15 plus
speaker21_m_nn_utt05,nuwun sewu kulo badhe ndherek langkung,Iphone 15 plus
speaker21_m_nn_utt06,matur nuwun sanget atas bantosipun panjenengan,Iphone 15 plus
speaker21_m_nn_utt07,sakmenika sampun jam pitu langkung gangsal menit,Iphone 15 plus
speaker21_m_nn_utt08,kulo badhe tumbas sekul pecel kalih bungkus,Iphone 15 plus
speaker21_m_nn_utt09,menapa panjenengan sampun dhahar siang,Iphone 15 plus
speaker21_m_nn_utt10,griyanipun pakdhe wonten sachedakipun pasar ageng,Iphone 15 plus
speaker21_m_nn_utt11,kulo saweg sinau babagan pemrosesan swanten,Iphone 15 plus
speaker21_m_nn_utt12,mangke sonten kulo badhe sowan dhateng griya,Iphone 15 plus
